id	title	author	pub_date	venue	volume	issue	page	type	publisher	editor
meta:br/1	TITLE1	Surname1, Name1 [viaf:111 meta:ra/1]	1995					book	Pubx [viaf:222 meta:ra/2]	
meta:br/2	TITLE2	Surname1, Name1 [viaf:111 meta:ra/1]	1995	Venue2 [meta:br/3]				book chapter	Pubx [viaf:222 meta:ra/2]	
meta:br/4	TITLE3	Surname1, Name1 [viaf:111 meta:ra/1]	1995	Venue3 [meta:br/5]				book part	Pubx [viaf:222 meta:ra/2]	
meta:br/6	TITLE4	Surname1, Name1 [viaf:111 meta:ra/1]	1995					book section	Pubx [viaf:222 meta:ra/2]	
meta:br/7	TITLE5	Surname1, Name1 [viaf:111 meta:ra/1]	1995					book series	Pubx [viaf:222 meta:ra/2]	
meta:br/8	TITLE6	Surname1, Name1 [viaf:111 meta:ra/1]	1995					book set	Pubx [viaf:222 meta:ra/2]	
meta:br/9	TITLE7	Surname1, Name1 [viaf:111 meta:ra/1]	1995					book track	Pubx [viaf:222 meta:ra/2]	
meta:br/10	TITLE8	Surname1, Name1 [viaf:111 meta:ra/1]	1995					component	Pubx [viaf:222 meta:ra/2]	
meta:br/11	TITLE9	Surname1, Name1 [viaf:111 meta:ra/1]	1995					data file	Pubx [viaf:222 meta:ra/2]	
meta:br/12	TITLE10	Surname1, Name1 [viaf:111 meta:ra/1]	1995					dissertation	Pubx [viaf:222 meta:ra/2]	
meta:br/13	TITLE11	Surname1, Name1 [viaf:111 meta:ra/1]	1995					edited book	Pubx [viaf:222 meta:ra/2]	
meta:br/14	TITLE12	Surname1, Name1 [viaf:111 meta:ra/1]	1995					journal	Pubx [viaf:222 meta:ra/2]	
meta:br/15	TITLE13	Surname1, Name1 [viaf:111 meta:ra/1]	1995	Venue13 [meta:br/16]				journal article	Pubx [viaf:222 meta:ra/2]	
meta:br/17	TITLE14	Surname1, Name1 [viaf:111 meta:ra/1]	1995	Venue14 [meta:br/18]				journal issue	Pubx [viaf:222 meta:ra/2]	
meta:br/19	TITLE15	Surname1, Name1 [viaf:111 meta:ra/1]	1995	Venue15 [meta:br/20]				journal volume	Pubx [viaf:222 meta:ra/2]	
meta:br/21	TITLE16	Surname1, Name1 [viaf:111 meta:ra/1]	1995					monograph	Pubx [viaf:222 meta:ra/2]	
meta:br/22	TITLE17	Surname1, Name1 [viaf:111 meta:ra/1]	1995	Venue17 [meta:br/23]				proceedings article	Pubx [viaf:222 meta:ra/2]	
meta:br/24	TITLE18	Surname1, Name1 [viaf:111 meta:ra/1]	1995					proceedings	Pubx [viaf:222 meta:ra/2]	
meta:br/25	TITLE19	Surname1, Name1 [viaf:111 meta:ra/1]	1995					reference book	Pubx [viaf:222 meta:ra/2]	
meta:br/26	TITLE20	Surname1, Name1 [viaf:111 meta:ra/1]	1995					reference entry	Pubx [viaf:222 meta:ra/2]	
meta:br/27	TITLE21	Surname1, Name1 [viaf:111 meta:ra/1]	1995					report series	Pubx [viaf:222 meta:ra/2]	
meta:br/28	TITLE22	Surname1, Name1 [viaf:111 meta:ra/1]	1995	Venue22 [meta:br/29]				report	Pubx [viaf:222 meta:ra/2]	
meta:br/30	TITLE23	Surname1, Name1 [viaf:111 meta:ra/1]	1995	Venue23 [meta:br/31]				standard	Pubx [viaf:222 meta:ra/2]	
meta:br/32	TITLE24	Surname1, Name1 [viaf:111 meta:ra/1]	1995					standard series	Pubx [viaf:222 meta:ra/2]	
