id	title	author	pub_date	venue	volume	issue	page	type	publisher	editor
doi:10.1109/mic.2018.032501515 meta:br/13	A Web API Ecosystem Through Feature-Based Reuse	Verborgh, Ruben [: meta:ra/11]; Dumontier, Michel [orcid:0000-0003-4727-9435 meta:ra/3]						journal article		
doi:10.3233/ds-170013 meta:br/14	Data Science – Methods, Infrastructure, And Applications	Dumontier, Michel [orcid:0000-0003-4727-9435 meta:ra/3]; Kuhn, Tobias [orcid:0000-0002-1267-0234 meta:ra/12]	2017-11-30	Data Science [issn:2451-8492 issn:2451-8484 meta:br/10]			1-5	journal article	Ios Press [crossref:7437 meta:ra/2]	
doi:10.1007/978-3-642-30284-8_50 meta:br/15	Evaluating Scientific Hypotheses Using The SPARQL Inferencing Notation	Callahan, Alison [: meta:ra/13]; Dumontier, Michel [orcid:0000-0003-4727-9435 meta:ra/3]						book chapter		
doi:10.1016/j.cag.2011.03.039 meta:br/16	MoSuMo: A Semantic Web Service To Generate Electrostatic Potentials Across Solvent Excluded Protein Surfaces And Binding Pockets	Gawronski, Alexander [: meta:ra/14]; Dumontier, Michel [orcid:0000-0003-4727-9435 meta:ra/3]						journal article		
doi:10.1007/978-3-319-07443-6_27 meta:br/17	Trusty URIs: Verifiable, Immutable, And Permanent Digital Artifacts For Linked Data	Kuhn, Tobias [: meta:ra/15]; Dumontier, Michel [orcid:0000-0003-4727-9435 meta:ra/3]						book chapter		
doi:10.1109/tkde.2015.2419657 meta:br/18	Making Digital Artifacts On The Web Verifiable And Reliable	Kuhn, Tobias [orcid:0000-0002-1267-0234 meta:ra/12]; Dumontier, Michel [orcid:0000-0003-4727-9435 meta:ra/3]						journal article		
doi:10.1002/9780470495018.ch2 meta:br/19	Target Profiling Of Small Molecules	Chepelev, Leonid L. [: meta:ra/16]; Dumontier, Michel [orcid:0000-0003-4727-9435 meta:ra/3]						book chapter		
doi:10.1186/s13326-016-0081-1 meta:br/20	Overlap In Drug-Disease Associations Between Clinical Practice Guidelines And Drug Structured Product Label Indications	Leung, Tiffany I. [: meta:ra/17]; Dumontier, Michel [orcid:0000-0003-4727-9435 meta:ra/3]						journal article		
doi:10.1109/mic.2012.122 meta:br/21	Linked Data In Drug Discovery	Dumontier, Michel [orcid:0000-0003-4727-9435 meta:ra/3]; Wild, David J. [: meta:ra/18]						journal article		
doi:10.1186/1471-2105-3-13 meta:br/22		Dumontier, Michel [orcid:0000-0003-4727-9435 meta:ra/3]; Hogue, Christopher Wv [: meta:ra/19]						journal article		
doi:10.1016/j.jbi.2008.05.001 meta:br/23	yOWL: An Ontology-Driven Knowledge Base For Yeast Biologists	Villanueva-Rosales, Natalia [: meta:ra/20]; Dumontier, Michel [orcid:0000-0003-4727-9435 meta:ra/3]						journal article		
